Edad,País / Procedencia,Idioma,Presupuesto,Días de viaje,Tipo de viaje,Problemas respiratorios,Movilidad reducida,Alergias,Comida,Naturaleza,Historia,Fotografía,Altura máxima tolerada,Recomendación médica,Destino
27,Estados Unidos,Inglés,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,3400,Hidratación constante,Machu Picchu
34,España,Español,Medio,5,Aventura,No,No,No,Sí,Sí,Sí,Sí,4200,Consumir mate de coca,Machu Picchu
52,Canadá,Inglés,Alto,8,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3000,Llevar medicación personal,Machu Picchu
23,Brasil,Portugués,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,4200,Aclimatación previa,Machu Picchu
41,Francia,Francés,Alto,9,Cultural,No,No,Sí,Sí,No,Sí,Sí,3400,Descansar correctamente,Machu Picchu
30,México,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Evitar esfuerzo excesivo,Machu Picchu
45,Alemania,Alemán,Alto,10,Aventura,No,No,No,No,Sí,Sí,Sí,4300,Hidratación continua,Machu Picchu
38,Argentina,Español,Medio,7,Relajación,No,No,No,Sí,Sí,Sí,Sí,3200,Descanso moderado,Machu Picchu
24,Chile,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,4100,Consultar médico,Machu Picchu
56,Italia,Italiano,Alto,12,Cultural,Sí,No,No,Sí,No,Sí,Sí,3400,Llevar snacks energéticos,Machu Picchu
21,Perú,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,4000,Usar bloqueador solar,Machu Picchu
33,Australia,Inglés,Alto,9,Aventura,No,No,Sí,Sí,Sí,No,Sí,4300,Hidratación constante,Machu Picchu
47,Reino Unido,Inglés,Alto,8,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Aclimatación recomendada,Machu Picchu
28,Colombia,Español,Medio,6,Aventura,No,No,No,Sí,Sí,Sí,Sí,5000,Consumir agua frecuentemente,Machu Picchu
60,Estados Unidos,Inglés,Alto,11,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,3000,Llevar ropa térmica,Machu Picchu
36,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,3500,Hidratación permanente,Machu Picchu
25,Japón,Japonés,Alto,10,Fotografía,No,No,No,Sí,Sí,No,Sí,4800,Descansar adecuadamente,Machu Picchu
42,Suiza,Alemán,Alto,8,Naturaleza,No,No,No,No,Sí,Sí,Sí,3700,Aclimatación previa,Machu Picchu
31,Ecuador,Español,Medio,5,Cultural,No,No,No,Sí,No,Sí,Sí,3400,Evitar comidas pesadas,Machu Picchu
22,Bolivia,Español,Económico,6,Aventura,No,No,No,No,Sí,No,Sí,4200,Hidratación y descanso,Machu Picchu
49,Francia,Francés,Alto,9,Relajación,Sí,No,No,Sí,Sí,Sí,No,3200,Consumir mate de coca,Machu Picchu
26,Corea del Sur,Coreano,Alto,8,Fotografía,No,No,No,Sí,Sí,No,Sí,5000,Control médico,Machu Picchu
37,Perú,Español,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,3600,Llevar medicamentos,Machu Picchu
54,Austria,Alemán,Alto,10,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,3000,Usar ropa ligera,Machu Picchu
20,Argentina,Español,Económico,5,Mochilero,No,No,No,No,Sí,No,Sí,4500,Hidratación adecuada,Machu Picchu
