Edad,País / Procedencia,Idioma,Presupuesto,Días de viaje,Tipo de viaje,Problemas respiratorios,Movilidad reducida,Alergias,Comida,Naturaleza,Historia,Fotografía,Destino recomendado,Destino alternativo,Nivel de dificultad,Requiere caminata,Altura máxima tolerada,Recomendación médica,Tipo de transporte,Tour recomendado,Riesgo por altura,Apto para adulto mayor,Apto para niños
27,Estados Unidos,Inglés,Alto,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Ollantaytambo,Medio,Sí,3400,Hidratación constante,Tren,City Tour,Medio,Sí,Sí
34,España,Español,Medio,5,Aventura,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Valle Sagrado,Alto,Sí,4200,Consumir mate de coca,Tren,Trekking,Alto,No,Sí
52,Canadá,Inglés,Alto,8,Relajación,Sí,Sí,No,Sí,Sí,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Llevar medicación personal,Tren,Relax,Bajo,Sí,Sí
23,Brasil,Portugués,Económico,6,Mochilero,No,No,No,No,Sí,No,Sí,Machu Picchu,Camino Inca,Extremo,Sí,4200,Aclimatación previa,Caminata,Trekking,Alto,No,No
41,Francia,Francés,Alto,9,Cultural,No,No,Sí,Sí,No,Sí,Sí,Machu Picchu,Qorikancha,Medio,Sí,3400,Descansar correctamente,Tren,Cultural,Medio,Sí,Sí
30,México,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Pisac,Medio,Sí,3600,Evitar esfuerzo excesivo,Bus,City Tour,Medio,Sí,Sí
45,Alemania,Alemán,Alto,10,Aventura,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Salkantay Trek,Alto,Sí,4300,Hidratación continua,Caminata,Trekking,Alto,No,No
38,Argentina,Español,Medio,7,Relajación,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Urubamba,Bajo,No,3200,Descanso moderado,Tren,Relax,Bajo,Sí,Sí
24,Chile,Español,Económico,5,Aventura,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Camino Inca,Alto,Sí,4100,Consultar médico,Caminata,Aventura,Alto,No,No
56,Italia,Italiano,Alto,12,Cultural,Sí,No,No,Sí,No,Sí,Sí,Machu Picchu,Qorikancha,Medio,Sí,3400,Llevar snacks energéticos,Tren,Cultural,Medio,Sí,Sí
21,Perú,Español,Económico,4,Mochilero,No,No,No,No,Sí,No,Sí,Machu Picchu,Ollantaytambo,Alto,Sí,4000,Usar bloqueador solar,Bus,Trekking,Alto,No,No
33,Australia,Inglés,Alto,9,Aventura,No,No,Sí,Sí,Sí,No,Sí,Machu Picchu,Laguna Humantay,Alto,Sí,4300,Hidratación constante,Caminata,Aventura,Alto,No,Sí
47,Reino Unido,Inglés,Alto,8,Cultural,No,No,No,Sí,No,Sí,Sí,Machu Picchu,Catedral del Cusco,Medio,Sí,3400,Aclimatación recomendada,Tren,Histórico,Medio,Sí,Sí
28,Colombia,Español,Medio,6,Aventura,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Montaña de 7 Colores,Alto,Sí,5000,Consumir agua frecuentemente,Bus,Trekking,Alto,No,No
60,Estados Unidos,Inglés,Alto,11,Relajación,Sí,Sí,Sí,Sí,No,Sí,No,Machu Picchu,Yucay,Bajo,No,3000,Llevar ropa térmica,Tren,Relax,Bajo,Sí,Sí
36,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Machu Picchu,Maras,Medio,Sí,3500,Hidratación permanente,Bus,Cultural,Medio,Sí,Sí
25,Japón,Japonés,Alto,10,Fotografía,No,No,No,Sí,Sí,No,Sí,Machu Picchu,Valle Rojo,Alto,Sí,4800,Descansar adecuadamente,Bus,Fotográfico,Alto,No,No
42,Suiza,Alemán,Alto,8,Naturaleza,No,No,No,No,Sí,Sí,Sí,Machu Picchu,Laguna Piuray,Medio,Sí,3700,Aclimatación previa,Bus,Ecológico,Medio,Sí,Sí
